Fecha,Precio,ticker
2014-12-15,5.942269802093506,FMTY14.MX
2014-12-16,5.893200874328613,FMTY14.MX
2014-12-17,5.961896896362305,FMTY14.MX
2014-12-18,5.937364101409912,FMTY14.MX
2014-12-19,5.937364101409912,FMTY14.MX
2014-12-22,6.006058692932129,FMTY14.MX
2014-12-23,5.986433029174805,FMTY14.MX
2014-12-24,5.986433029174805,FMTY14.MX
2014-12-26,5.986433029174805,FMTY14.MX
2014-12-29,5.986433029174805,FMTY14.MX
2014-12-30,5.986433029174805,FMTY14.MX
2014-12-31,5.986433029174805,FMTY14.MX
2015-01-02,5.986433029174805,FMTY14.MX
2015-01-05,5.961896896362305,FMTY14.MX
2015-01-06,5.937364101409912,FMTY14.MX
2015-01-07,5.912824630737305,FMTY14.MX
2015-01-08,5.937364101409912,FMTY14.MX
2015-01-09,5.937364101409912,FMTY14.MX
2015-01-12,5.917736530303955,FMTY14.MX
2015-01-13,5.937364101409912,FMTY14.MX
2015-01-14,5.912824630737305,FMTY14.MX
2015-01-15,5.912824630737305,FMTY14.MX
2015-01-16,5.88829231262207,FMTY14.MX
2015-01-19,5.88829231262207,FMTY14.MX
2015-01-20,5.88829231262207,FMTY14.MX
2015-01-21,5.88829231262207,FMTY14.MX
2015-01-22,5.912824630737305,FMTY14.MX
2015-01-23,5.9079203605651855,FMTY14.MX
2015-01-26,5.922642707824707,FMTY14.MX
2015-01-27,5.937364101409912,FMTY14.MX
2015-01-28,5.937364101409912,FMTY14.MX
2015-01-29,5.937364101409912,FMTY14.MX
2015-01-30,5.961896896362305,FMTY14.MX
2015-02-03,5.961896896362305,FMTY14.MX
2015-02-04,6.035500526428223,FMTY14.MX
2015-02-05,6.006058692932129,FMTY14.MX
2015-02-06,6.006058692932129,FMTY14.MX
2015-02-09,6.006058692932129,FMTY14.MX
2015-02-10,5.986433029174805,FMTY14.MX
2015-02-11,5.971710681915283,FMTY14.MX
2015-02-12,5.986433029174805,FMTY14.MX
2015-02-13,6.006058692932129,FMTY14.MX
2015-02-16,5.961896896362305,FMTY14.MX
2015-02-17,5.9569902420043945,FMTY14.MX
2015-02-18,5.961896896362305,FMTY14.MX
2015-02-19,6.133641719818115,FMTY14.MX
2015-02-20,6.133641719818115,FMTY14.MX
2015-02-23,6.133641719818115,FMTY14.MX
2015-02-24,6.133641719818115,FMTY14.MX
2015-02-25,6.084568023681641,FMTY14.MX
2015-02-26,6.133641719818115,FMTY14.MX
2015-02-27,6.133641719818115,FMTY14.MX
2015-03-02,6.133641719818115,FMTY14.MX
2015-03-03,6.133641719818115,FMTY14.MX
2015-03-04,6.133641719818115,FMTY14.MX
2015-03-05,6.133641719818115,FMTY14.MX
2015-03-06,6.133641719818115,FMTY14.MX
2015-03-09,6.256312847137451,FMTY14.MX
2015-03-10,6.256312847137451,FMTY14.MX
2015-03-11,6.256312847137451,FMTY14.MX
2015-03-12,6.256312847137451,FMTY14.MX
2015-03-13,6.275938987731934,FMTY14.MX
2015-03-17,6.275938987731934,FMTY14.MX
2015-03-18,6.329916477203369,FMTY14.MX
2015-03-19,6.329916477203369,FMTY14.MX
2015-03-20,6.329916477203369,FMTY14.MX
2015-03-23,6.320098400115967,FMTY14.MX
2015-03-24,6.275938987731934,FMTY14.MX
2015-03-25,6.231778144836426,FMTY14.MX
2015-03-26,6.207242965698242,FMTY14.MX
2015-03-27,6.280846118927002,FMTY14.MX
2015-03-30,6.280846118927002,FMTY14.MX
2015-03-31,6.280846118927002,FMTY14.MX
2015-04-01,6.271035671234131,FMTY14.MX
2015-04-06,6.271035671234131,FMTY14.MX
2015-04-07,6.285755157470703,FMTY14.MX
2015-04-08,6.37898588180542,FMTY14.MX
2015-04-09,6.37898588180542,FMTY14.MX
2015-04-10,6.37898588180542,FMTY14.MX
2015-04-13,6.37898588180542,FMTY14.MX
2015-04-14,6.37898588180542,FMTY14.MX
2015-04-15,6.37898588180542,FMTY14.MX
2015-04-16,6.37898588180542,FMTY14.MX
2015-04-17,6.37898588180542,FMTY14.MX
2015-04-20,6.374078273773193,FMTY14.MX
2015-04-21,6.374078273773193,FMTY14.MX
2015-04-22,6.374078273773193,FMTY14.MX
2015-04-23,6.374078273773193,FMTY14.MX
2015-04-24,6.369172096252441,FMTY14.MX
2015-04-27,6.369172096252441,FMTY14.MX
2015-04-28,6.369172096252441,FMTY14.MX
2015-04-29,6.364262580871582,FMTY14.MX
2015-04-30,6.329916477203369,FMTY14.MX
2015-05-04,6.329916477203369,FMTY14.MX
2015-05-05,6.30538272857666,FMTY14.MX
2015-05-06,6.280846118927002,FMTY14.MX
2015-05-07,6.280846118927002,FMTY14.MX
2015-05-08,6.280846118927002,FMTY14.MX
2015-05-11,6.280846118927002,FMTY14.MX
2015-05-12,6.275578498840332,FMTY14.MX
2015-05-13,6.300191879272461,FMTY14.MX
2015-05-14,6.290347099304199,FMTY14.MX
2015-05-15,6.275578498840332,FMTY14.MX
2015-05-18,6.275578498840332,FMTY14.MX
2015-05-19,6.280500411987305,FMTY14.MX
2015-05-20,6.201744556427002,FMTY14.MX
2015-05-21,6.201744556427002,FMTY14.MX
2015-05-22,6.201744556427002,FMTY14.MX
2015-05-25,6.206672191619873,FMTY14.MX
