Fecha,Dividendo,ticker
2015-05-12,0.038554,FMTY14.MX
2015-05-26,0.184875,FMTY14.MX
2015-08-12,0.175279,FMTY14.MX
2015-11-11,0.213377,FMTY14.MX
2016-01-29,0.22808,FMTY14.MX
2016-03-29,0.231993,FMTY14.MX
2016-04-22,0.077938,FMTY14.MX
2016-08-09,0.149753,FMTY14.MX
2016-09-30,0.235616,FMTY14.MX
2017-03-10,0.25616,FMTY14.MX
2017-05-23,0.165733,FMTY14.MX
2017-07-26,0.084548,FMTY14.MX
2017-10-27,0.157326,FMTY14.MX
2019-10-22,0.018817,FMTY14.MX
2020-02-21,0.171599,FMTY14.MX
2020-04-28,0.086469,FMTY14.MX
2020-05-27,0.086456,FMTY14.MX
2020-06-26,0.08646,FMTY14.MX
2020-07-29,0.089434,FMTY14.MX
2020-08-28,0.089056,FMTY14.MX
2020-10-28,0.088571,FMTY14.MX
2020-12-29,0.088417,FMTY14.MX
2021-01-27,0.083158,FMTY14.MX
2021-02-24,0.082971,FMTY14.MX
2021-03-10,0.08297,FMTY14.MX
2021-04-28,0.068978,FMTY14.MX
2021-05-27,0.068978,FMTY14.MX
2021-06-28,0.068978,FMTY14.MX
2021-07-28,0.07248,FMTY14.MX
2021-08-27,0.07258,FMTY14.MX
2021-09-28,0.07258,FMTY14.MX
2021-10-27,0.073766,FMTY14.MX
2021-11-26,0.073763,FMTY14.MX
2021-12-29,0.073763,FMTY14.MX
2022-01-27,0.080957,FMTY14.MX
2022-02-24,0.080764,FMTY14.MX
2022-03-09,0.080764,FMTY14.MX
2022-04-27,0.081631,FMTY14.MX
2022-05-27,0.081632,FMTY14.MX
2022-06-28,0.081631,FMTY14.MX
2022-07-27,0.083357,FMTY14.MX
2022-08-29,0.083357,FMTY14.MX
2022-09-08,0.083357,FMTY14.MX
2022-10-27,0.08284,FMTY14.MX
2022-11-28,0.08284,FMTY14.MX
2022-12-28,0.082839,FMTY14.MX
2023-01-27,0.084648,FMTY14.MX
2023-02-22,0.308922,FMTY14.MX
2023-03-29,0.085,FMTY14.MX
2023-07-27,0.074415,FMTY14.MX
2023-08-29,0.074437,FMTY14.MX
2023-09-27,0.074473,FMTY14.MX
2023-10-27,0.078473,FMTY14.MX
2023-11-28,0.078536,FMTY14.MX
2023-12-27,0.078536,FMTY14.MX
2024-01-29,0.075134,FMTY14.MX
2024-02-27,0.075013,FMTY14.MX
2024-02-29,0.075013,FMTY14.MX
2024-06-27,0.072915,FMTY14.MX
2024-07-30,0.079475,FMTY14.MX
2024-08-29,0.080025,FMTY14.MX
2024-09-27,0.080082,FMTY14.MX
2024-10-30,0.082425,FMTY14.MX
2024-11-28,0.082678,FMTY14.MX
2024-12-26,0.08296,FMTY14.MX
2025-01-30,0.085773,FMTY14.MX
2025-02-27,0.085719,FMTY14.MX
2025-03-11,0.085719,FMTY14.MX
2025-04-29,0.089173,FMTY14.MX
2025-05-29,0.089078,FMTY14.MX
2025-07-03,0.088751,FMTY14.MX
2025-07-30,0.086303,FMTY14.MX
2025-08-28,0.086303,FMTY14.MX
2025-09-25,0.086112,FMTY14.MX
2025-10-30,0.084112,FMTY14.MX
2025-11-27,0.084112,FMTY14.MX
2025-12-24,0.084078,FMTY14.MX
2026-01-29,0.08163,FMTY14.MX
2026-02-26,0.081398,FMTY14.MX
2026-03-05,0.2098,FMTY14.MX
2011-05-23,0.034261,FUNO11.MX
2011-08-08,0.210348,FUNO11.MX
2011-11-03,0.377947,FUNO11.MX
2012-02-09,0.36889,FUNO11.MX
2012-05-04,0.108631,FUNO11.MX
2012-08-06,0.3,FUNO11.MX
2012-11-06,0.404469,FUNO11.MX
2013-01-25,0.42161,FUNO11.MX
2013-05-06,0.24196,FUNO11.MX
2013-08-06,0.291899,FUNO11.MX
2013-11-06,0.450396,FUNO11.MX
2014-02-10,0.48,FUNO11.MX
2014-05-06,0.436677,FUNO11.MX
2014-08-06,0.40143,FUNO11.MX
2014-11-04,0.497665,FUNO11.MX
2015-02-11,0.488997,FUNO11.MX
2015-05-06,0.492164,FUNO11.MX
2015-08-04,0.493363,FUNO11.MX
2015-11-04,0.500483,FUNO11.MX
2016-02-08,0.509691,FUNO11.MX
2016-05-04,0.501977,FUNO11.MX
2016-08-04,0.480139,FUNO11.MX
2016-11-04,0.489375,FUNO11.MX
2017-02-03,0.51166,FUNO11.MX
2017-05-04,0.515357,FUNO11.MX
2017-08-04,0.511542,FUNO11.MX
2017-10-02,0.516624,FUNO11.MX
2018-02-08,0.841185,FUNO11.MX
2018-05-07,0.529703,FUNO11.MX
2018-08-07,0.540108,FUNO11.MX
2018-11-07,0.554984,FUNO11.MX
2019-02-06,0.575499,FUNO11.MX
2019-05-07,0.580551,FUNO11.MX
2019-08-07,0.583598,FUNO11.MX
2019-11-06,0.585,FUNO11.MX
2020-02-07,0.589999,FUNO11.MX
2020-05-07,0.290435,FUNO11.MX
2020-08-06,0.280974,FUNO11.MX
2020-11-06,0.300946,FUNO11.MX
2021-02-05,0.311912,FUNO11.MX
2021-05-06,0.328345,FUNO11.MX
2021-08-05,0.3311,FUNO11.MX
2021-11-05,0.37,FUNO11.MX
2022-02-04,0.682855,FUNO11.MX
2022-05-05,0.50488,FUNO11.MX
2022-08-05,0.523632,FUNO11.MX
2022-11-07,0.5659,FUNO11.MX
2023-02-08,0.951366,FUNO11.MX
2023-03-13,0.155412,FUNO11.MX
2023-05-05,0.389133,FUNO11.MX
2023-08-07,0.571313,FUNO11.MX
2023-11-07,0.582279,FUNO11.MX
2024-02-07,0.605775,FUNO11.MX
2024-03-13,0.097037,FUNO11.MX
2024-05-07,0.402963,FUNO11.MX
2024-08-08,0.519023,FUNO11.MX
2024-11-08,0.525,FUNO11.MX
2025-02-07,0.551328,FUNO11.MX
2025-05-08,0.554953,FUNO11.MX
2025-08-08,0.57,FUNO11.MX
2025-11-07,0.605,FUNO11.MX
2026-02-06,0.67,FUNO11.MX
2014-03-05,0.448765,FIBRAMQ12.MX
2014-05-13,0.453539,FIBRAMQ12.MX
